Horodateur;Quel est votre genre ?;Dans quel pays vivez-vous ?;Quelle est votre langue maternelle ?;Quelles langues parlez-vous couramment ?;A quel point est-ce que vous trouvez cette langue attirante ? ;A quel point est-ce que vous trouvez cette langue attirante ? ;A quel point est-ce que vous trouvez cette langue attirante ? ;A quel point est-ce que vous trouvez cette langue attirante ? ;A quel point est-ce que vous trouvez cette langue attirante ? ;A quel point est-ce que vous trouvez cette langue attirante ? ;A quel point est-ce que vous trouvez cette langue attirante ? ;A quel point est-ce que vous trouvez cette langue attirante ? ;A quel point est-ce que vous trouvez cette langue attirante ? ;Pensez-vous que votre perception (positive ou négative) de la culture d’un pays influence votre perception de sa langue ? 
2024/12/20 4:02:21 PM UTC+1;Femme;Maroc;Francais / Arabe ;Francais;Attirante;Pas attirante du tout;Attirante;Pas attirante du tout;Pas attirante du tout;Pas attirante;Très attirante;Très attirante;Très attirante;Oui
2024/12/20 4:04:36 PM UTC+1;Femme;France;Française ;Français ;Attirante;Attirante;Attirante;Assez attirante;Assez attirante;Attirante;Assez attirante;Assez attirante;Pas attirante du tout;Oui
2024/12/20 4:06:08 PM UTC+1;Femme;France;Français;Anglais;Pas très attirante;Attirante;Très attirante;Assez attirante;Pas attirante;Pas très attirante;Pas attirante;Pas très attirante;Pas très attirante;Oui
2024/12/20 4:08:19 PM UTC+1;Homme;France;Francais;Francais;Assez attirante;Pas attirante du tout;Très attirante;Attirante;Pas attirante du tout;Pas attirante du tout;Attirante;Pas attirante du tout;Très attirante;Oui
2024/12/20 4:56:25 PM UTC+1;Femme;France ;Français ;Français/Anglais ;Attirante;Attirante;Assez attirante;Pas très attirante;Pas très attirante;Pas attirante;Pas très attirante;Très attirante;Attirante;Oui
2024/12/20 5:08:12 PM UTC+1;Femme;France ;Français ;Anglais et français ;Assez attirante;Très attirante;Attirante;Pas très attirante;Pas attirante;Pas très attirante;Assez attirante;Pas très attirante;Assez attirante;Oui
2024/12/20 5:09:56 PM UTC+1;Homme;France;Français;Anglais, français ;Très attirante;Assez attirante;Très attirante;Assez attirante;Pas attirante du tout;Pas attirante;Pas très attirante;Pas attirante du tout;Très attirante;Oui
2024/12/20 5:39:34 PM UTC+1;Femme;France;français ;français anglais ;Attirante;Attirante;Pas très attirante;Pas très attirante;Pas attirante du tout;Pas attirante;Assez attirante;Attirante;Assez attirante;Non
2024/12/20 5:46:04 PM UTC+1;Femme;France;Français ;Français et anglais;Assez attirante;Pas très attirante;Pas attirante;Pas attirante du tout;Pas attirante du tout;Pas attirante;Pas attirante;Pas attirante du tout;Assez attirante;Non
2024/12/20 5:53:20 PM UTC+1;Femme;France;Français et portugais;Français, portugais, anglais ;Attirante;Attirante;Assez attirante;Pas très attirante;Pas très attirante;Pas très attirante;Assez attirante;Assez attirante;Attirante;Non
2024/12/20 6:10:42 PM UTC+1;Femme;France;Français/Polonais;Français, Polonais, Anglais;Attirante;Pas très attirante;Assez attirante;Pas très attirante;Pas très attirante;Assez attirante;Attirante;Pas très attirante;Assez attirante;Oui
2024/12/20 6:29:47 PM UTC+1;Femme;France;Français;Français, anglais;Attirante;Très attirante;Attirante;Attirante;Assez attirante;Pas très attirante;Assez attirante;Très attirante;Assez attirante;Oui
2024/12/20 7:31:48 PM UTC+1;Homme;France ;Français ;Français, Arabe;Très attirante;Pas très attirante;Assez attirante;Très attirante;Pas très attirante;Pas attirante;Assez attirante;Très attirante;Attirante;Non
2024/12/20 7:42:19 PM UTC+1;Femme;France;français ;français ;Attirante;Attirante;Assez attirante;Attirante;Assez attirante;Assez attirante;Attirante;Attirante;Attirante;Oui
2024/12/20 7:46:08 PM UTC+1;Homme;France;Français ;Anglais et français ;Attirante;Pas très attirante;Assez attirante;Attirante;Pas attirante;Pas attirante;Pas très attirante;Pas attirante;Attirante;Oui
2024/12/20 7:51:59 PM UTC+1;Femme;France ;Française;Français;Attirante;Pas attirante;Attirante;Assez attirante;Pas attirante;Pas très attirante;Attirante;Pas attirante du tout;Assez attirante;Oui
2024/12/20 8:48:35 PM UTC+1;Femme;France;Français ;Français et anglais;Attirante;Pas très attirante;Pas très attirante;Assez attirante;Pas très attirante;Pas très attirante;Attirante;Assez attirante;Attirante;Oui
2024/12/20 11:44:47 PM UTC+1;Femme;france;francais;3;Très attirante;Attirante;Assez attirante;Pas très attirante;Attirante;Pas très attirante;Pas très attirante;Attirante;Attirante;Oui
2024/12/21 8:24:41 AM UTC+1;Femme;France;Français ;Français, Anglais;Attirante;Très attirante;Très attirante;Pas très attirante;Pas attirante du tout;Pas attirante du tout;Très attirante;Pas très attirante;Très attirante;Oui
2024/12/21 11:22:50 AM UTC+1;Homme;France;Arabe;Arabe, français, anglais ;Pas très attirante;Assez attirante;Attirante;Très attirante;Attirante;Assez attirante;Très attirante;Pas très attirante;Attirante;Oui
2024/12/21 11:33:30 AM UTC+1;Femme;France ;Français ;Français ;Assez attirante;Pas très attirante;Très attirante;Pas attirante;Pas attirante;Pas attirante;Assez attirante;Assez attirante;Attirante;Non
2024/12/21 11:44:05 AM UTC+1;;France ;français ;allemand anglais ;Assez attirante;Attirante;Assez attirante;Attirante;Pas très attirante;Pas très attirante;Assez attirante;Attirante;Attirante;Oui
2024/12/21 12:19:27 PM UTC+1;Femme;France ;français ;français ;Attirante;Pas attirante;Assez attirante;Pas très attirante;Pas attirante;Pas attirante;Assez attirante;Pas attirante;Attirante;Non
2024/12/21 1:03:17 PM UTC+1;Femme;France ;Français ;Français ;Attirante;Pas attirante du tout;Assez attirante;Très attirante;Pas très attirante;Pas attirante;Attirante;Attirante;Pas attirante du tout;Oui
2024/12/21 2:22:26 PM UTC+1;Femme;France;Français;Français ;Pas très attirante;Attirante;Assez attirante;Attirante;Pas attirante;Très attirante;Pas très attirante;Assez attirante;Très attirante;Non
2024/12/23 9:32:12 AM UTC+1;Femme;France;français;français anglais;Attirante;Assez attirante;Assez attirante;Assez attirante;Assez attirante;Pas très attirante;Assez attirante;Pas très attirante;Assez attirante;Non
2024/12/23 10:50:23 PM UTC+1;Femme;France;Français;français, anglais;Très attirante;Pas très attirante;Très attirante;Assez attirante;Pas très attirante;Assez attirante;Attirante;Pas très attirante;Attirante;Oui
2024/12/24 4:11:07 PM UTC+1;Femme;FRANCE;FRANCAIS;FRANCAIS & TURQUE;Très attirante;Pas attirante;Assez attirante;Attirante;Pas attirante du tout;Assez attirante;Très attirante;Pas attirante;Attirante;Non
2024/12/26 12:00:49 PM UTC+1;Homme;France;Français;Français;Très attirante;Assez attirante;Assez attirante;Assez attirante;Pas très attirante;Pas attirante du tout;Très attirante;Pas attirante;Pas attirante;Oui
2024/12/27 2:11:34 PM UTC+1;Homme;France;français;français;Très attirante;Attirante;Attirante;Pas très attirante;Pas très attirante;Pas attirante;Assez attirante;Pas attirante du tout;Assez attirante;Oui
2024/12/27 2:16:35 PM UTC+1;Homme;france;Français;Français;Attirante;Pas attirante du tout;Assez attirante;Pas attirante;Pas attirante;Pas attirante;Assez attirante;Pas attirante;Très attirante;Non
2024/12/27 4:28:46 PM UTC+1;Femme;France ;Français ;Français, Anglais ;Très attirante;Pas très attirante;Attirante;Pas très attirante;Attirante;Pas attirante;Attirante;Pas attirante du tout;Très attirante;Oui
2024/12/27 5:20:28 PM UTC+1;Femme;France ;Français ;Français ;Attirante;Pas attirante;Très attirante;Attirante;Pas attirante du tout;Pas attirante du tout;Pas très attirante;Pas attirante du tout;Très attirante;Oui
2024/12/27 5:56:18 PM UTC+1;Homme;France ;français ;français ;Très attirante;Pas attirante;Attirante;Assez attirante;Pas très attirante;Pas attirante;Très attirante;Attirante;Assez attirante;Oui
2024/12/27 6:30:56 PM UTC+1;Femme;France;Français ;Anglais  italien;Très attirante;Pas très attirante;Attirante;Pas très attirante;Pas très attirante;Pas attirante;Assez attirante;Pas attirante;Attirante;Non
2024/12/27 7:16:34 PM UTC+1;Femme;France ;Français ;Français ;Très attirante;Pas attirante;Très attirante;Pas très attirante;Pas attirante;Pas attirante du tout;Attirante;Assez attirante;Assez attirante;Non
2024/12/29 3:45:03 PM UTC+1;Femme;France;Français;Français, Néerlandais et Anglais;Attirante;Assez attirante;Très attirante;Pas attirante;Pas attirante du tout;Pas attirante du tout;Pas attirante du tout;Pas attirante du tout;Assez attirante;Oui
2024/12/29 7:06:29 PM UTC+1;Homme;FRANCE;FRANCAIS;FRANCAIS;Attirante;Pas très attirante;Assez attirante;Pas très attirante;Pas attirante;Pas très attirante;Très attirante;Pas attirante;Assez attirante;Non
2024/12/30 9:24:33 AM UTC+1;Homme;Norvège ;Norvégien ;Norvégien, anglais, français ;Attirante;Assez attirante;Attirante;Attirante;Pas très attirante;Pas très attirante;Assez attirante;Assez attirante;Attirante;Oui
2024/12/30 11:24:02 AM UTC+1;Homme;France;Français;Français / Anglais;Attirante;Pas attirante;Très attirante;Très attirante;Pas attirante;Pas très attirante;Assez attirante;Assez attirante;Pas très attirante;Non
2024/12/30 2:45:21 PM UTC+1;Femme;France;Français;Français, anglais;Attirante;Assez attirante;Très attirante;Très attirante;Pas très attirante;Pas très attirante;Attirante;Pas très attirante;Assez attirante;Oui
2024/12/30 4:01:31 PM UTC+1;Homme;France;Français;Français, Nguemba, Anglais;Attirante;Assez attirante;Très attirante;Pas très attirante;Pas très attirante;Pas attirante;Assez attirante;Pas attirante;Très attirante;Oui
2024/12/31 7:10:53 PM UTC+1;Homme;France;Français;Français et anglais;Très attirante;Pas attirante;Attirante;Assez attirante;Pas très attirante;Pas attirante du tout;Attirante;Pas très attirante;Assez attirante;Oui
2024/12/31 10:04:21 PM UTC+1;Femme;FRANCE;FRANCAIS;FRANCAIS ANGLAIS TURC;Attirante;Assez attirante;Attirante;Pas attirante;Pas très attirante;Pas très attirante;Assez attirante;Assez attirante;Très attirante;Non
2025/01/02 2:11:43 AM UTC+1;Homme;France;Français;Français;Très attirante;Pas attirante;Assez attirante;Pas très attirante;Pas attirante du tout;Pas attirante du tout;Très attirante;Pas très attirante;Pas très attirante;Non
2025/01/05 2:01:47 PM UTC+1;Femme;FRANCE;FRANÇAIS;ANGLAIS;Très attirante;Pas attirante;Pas très attirante;Pas attirante;Pas attirante du tout;Assez attirante;Assez attirante;Pas attirante du tout;Pas attirante;Non
2025/01/06 1:41:49 PM UTC+1;Femme;FRANCE;FRANCAIS;FRANCAIS, ANGLAIS;Attirante;Pas très attirante;Attirante;Attirante;Pas très attirante;Pas très attirante;Pas très attirante;Pas très attirante;Très attirante;Oui
2025/01/06 3:33:36 PM UTC+1;Femme;france;français;espagnol, anglais, portugais, italien;Assez attirante;Pas attirante;Pas très attirante;Assez attirante;Pas très attirante;Pas attirante;Très attirante;Pas très attirante;Attirante;Oui
2025/01/06 4:16:00 PM UTC+1;Femme;France;rif;rif, arabe , francais;Assez attirante;Assez attirante;Assez attirante;Assez attirante;Assez attirante;Assez attirante;Assez attirante;Assez attirante;Assez attirante;Oui
2025/01/06 10:53:51 PM UTC+1;Femme;France;France;Francais;Très attirante;Pas très attirante;Assez attirante;Très attirante;Pas très attirante;Pas attirante;Très attirante;Pas attirante du tout;Très attirante;Oui
2025/01/07 1:51:02 PM UTC+1;Femme;France;français;français, anglais;Attirante;Attirante;Attirante;Attirante;Attirante;Assez attirante;Assez attirante;Attirante;Attirante;Non
2025/01/07 1:52:19 PM UTC+1;Femme;France;Français;Français & Anglais;Assez attirante;Attirante;Assez attirante;Attirante;Attirante;Très attirante;Attirante;Attirante;Assez attirante;Oui
2025/01/07 8:39:34 PM UTC+1;Femme;France;Français;Français Anglais;Assez attirante;Pas très attirante;Attirante;Pas attirante;Pas attirante du tout;Pas attirante;Assez attirante;Assez attirante;Attirante;Non
